Date,Adj Close
5/15/1997,1.958333
5/16/1997,1.729167
5/19/1997,1.708333
5/20/1997,1.635417
5/21/1997,1.427083
5/22/1997,1.395833
5/23/1997,1.5
5/27/1997,1.583333
5/28/1997,1.53125
5/29/1997,1.505208
5/30/1997,1.5
6/2/1997,1.510417
6/3/1997,1.479167
6/4/1997,1.416667
6/5/1997,1.541667
6/6/1997,1.65625
6/9/1997,1.6875
6/10/1997,1.583333
6/11/1997,1.541667
6/12/1997,1.604167
6/13/1997,1.583333
6/16/1997,1.572917
6/17/1997,1.505208
6/18/1997,1.510417
6/19/1997,1.510417
6/20/1997,1.526042
6/23/1997,1.5
6/24/1997,1.510417
6/25/1997,1.510417
6/26/1997,1.510417
6/27/1997,1.489583
6/30/1997,1.541667
7/1/1997,1.515625
7/2/1997,1.588542
7/3/1997,1.911458
7/7/1997,2
7/8/1997,2.302083
7/9/1997,2.322917
7/10/1997,2.5625
7/11/1997,2.291667
7/14/1997,2.135417
7/15/1997,2.4375
7/16/1997,2.333333
7/17/1997,2.21875
7/18/1997,2.15625
7/21/1997,2.182292
7/22/1997,2.135417
7/23/1997,2.291667
7/24/1997,2.260417
7/25/1997,2.229167
7/28/1997,2.322917
7/29/1997,2.479167
7/30/1997,2.447917
7/31/1997,2.395833
8/1/1997,2.416667
8/4/1997,2.3125
8/5/1997,2.208333
8/6/1997,2.25
8/7/1997,2.177083
8/8/1997,2.291667
8/11/1997,2.328125
8/12/1997,2.197917
8/13/1997,2.197917
8/14/1997,2.15625
8/15/1997,2.114583
8/18/1997,2.041667
8/19/1997,2.166667
8/20/1997,2.166667
8/21/1997,2.114583
8/22/1997,2.125
8/25/1997,2.21875
8/26/1997,2.34375
8/27/1997,2.317708
8/28/1997,2.375
8/29/1997,2.338542
9/2/1997,2.354167
9/3/1997,2.333333
9/4/1997,2.552083
9/5/1997,2.5
9/8/1997,3
9/9/1997,3.239583
9/10/1997,3.302083
9/11/1997,3.15625
9/12/1997,3.6875
9/15/1997,3.09375
9/16/1997,3.354167
9/17/1997,3.40625
9/18/1997,3.291667
9/19/1997,3.947917
9/22/1997,4.5
9/23/1997,4.625
9/24/1997,4.375
9/25/1997,4.078125
9/26/1997,4.166667
9/29/1997,4.041667
9/30/1997,4.338542
10/1/1997,4.020833
10/2/1997,4.010417
10/3/1997,4.015625
10/6/1997,4.125
10/7/1997,4.057292
10/8/1997,4.005208
10/9/1997,3.75
10/10/1997,3.901042
10/13/1997,4
10/14/1997,3.979167
10/15/1997,3.921875
10/16/1997,3.625
